OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
jnxAnalyzerMIB,1.3.6.1.4.1.2636.3.40.1.1.1,,,moduleidentity,,"This is Juniper Networks' implementation of enterprise specific MIB for Analyzer and Remote Analyzer. Port mirroring is widely used in enterprise switches to send a copy of all or sampled packets seen on a port to an anlyzer on the same or different switch."
jnxAnalyzerMIBObjects,1.3.6.1.4.1.2636.3.40.1.1.1.1,,,objectidentity,,""
jnxAnalyzerTable,1.3.6.1.4.1.2636.3.40.1.1.1.1.1,,no-access,objecttype,table,"Network traffic passing through ports is analyzed by sending a copy of the traffic to another port on the same or different switch. This table contains the analyzer parameters."
jnxAnalyzerEntry,1.3.6.1.4.1.2636.3.40.1.1.1.1.1.1,,no-access,objecttype,row,"A row instance contains the Analyzer Name, Analyzer Status, Mirroring Ratio, Loss Priority."
jnxAnalyzerName,1.3.6.1.4.1.2636.3.40.1.1.1.1.1.1.1,displaystring,no-access,objecttype,column,"This object identifies a unique Analyzer configured on the switch."
jnxAnalyzerStatus,1.3.6.1.4.1.2636.3.40.1.1.1.1.1.1.2,truthvalue,read-only,objecttype,column,"This object identifies whether the mirroring associated with a particular analyzer is enabled or disabled."
jnxMirroringRatio,1.3.6.1.4.1.2636.3.40.1.1.1.1.1.1.3,unsigned32,read-only,objecttype,column,"This object will specify the mirroring ratio. User can configure the analyzer to mirror only one out of X packets [1:X packets] in the ingress/egress side based on whether the port is configured for ingress or egress mirroring. The configuration supports a range from 1: X [0 <= X <= 2047].Default value is 1."
jnxLossPriority,1.3.6.1.4.1.2636.3.40.1.1.1.1.1.1.4,integer,read-only,objecttype,column,"The analyzer port may be congested when the number of packets exceeds the bandwidth of the analyzer port. So the loss-priority parameter is enabled. The switched packets will not get affected by this. The value 0 corresponds to low priority.The value 1 corresponds to high loss priority.  Enumeration: 'high': 1, 'low': 0."
jnxAnalyzerInputTable,1.3.6.1.4.1.2636.3.40.1.1.1.1.2,,no-access,objecttype,table,"An analyzer Session is an association of several source ports to a destination port.A range or series of ports can be mirrored in a session."
jnxAnalyzerInputEntry,1.3.6.1.4.1.2636.3.40.1.1.1.1.2.1,,no-access,objecttype,row,"An Entry is created for each Input Source port."
jnxAnalyzerInputValue,1.3.6.1.4.1.2636.3.40.1.1.1.1.2.1.1,displaystring,no-access,objecttype,column,"This identifies each different analyzer input source. If the value of jnxAnalyzerInputType is 1 then jnxAnalyzerInputValue refers to the input source Interface Name. If the value of jnxAnalyzerInputType is 2 then jnxAnalyzerInputValue refers to the input source vlan name."
jnxAnalyzerInputOption,1.3.6.1.4.1.2636.3.40.1.1.1.1.2.1.2,integer,read-only,objecttype,column,"A source port is a switch port that is been mirrored. It can be mirrored based either on Ingress(received) traffic or egress (transmitted) traffic. The goal of receive (or ingress) Analyzer is to monitor as much as possible all the packets received by the source interface. The amount of received packets mirrored to the destination port depends on the mirroring ratio. A series or range of ingress ports can be mirrored in an analyzer session. The goal of transmit (or egress) analyzer is to monitor as much as possible all the packets sent by the source interface. The amount of egress packets mirrored to the destination port depends on the mirroring ratio.The copy is provided after the packet is modified. A range of egress ports can be mirrored in an analyzer session. The value 1 corresponds to mirroring ingress traffic. The value 2 corresponds to mirroring egress traffic. Enumeration: 'ingress': 1, 'egress': 2."
